id,establishments,%chg_lq_estabishments
1306,1440,7.31
1307,1342,9.73
1308,964,13.38
1309,4446,4.44
1310,712,8.05
1311,4794,5.53
1312,2096,9.79
1313,422,15.82
1314,6030,6.26
1315,1654,8.24
1316,86246,2.91
1317,1178,10.58
1318,1106,9.53
1319,358,22.11
1320,928,12
1321,406,14.8
1322,1556,8.67
1323,12576,3.68
1324,672,13.55
1325,1140,9.97
1326,8114,6.02
1327,6008,6.18
1328,6040,4.16
1329,1756,9.17
1330,466,14.79
1331,2334,8.11
1332,1732,11.94
1333,2996,8.46
1334,18424,3.87
1335,72140,3.69
1336,1716,9.18
1337,65518,2.57
1338,912,12.99
1339,15460,4.03
1340,2052,9.45
1341,2462,12.74
1342,1990,5.53
1343,408,16.7
1344,4122,7
1345,1648,7.61
1346,1474,13.01
1347,5020,4.88
1348,1748,11.41
1349,842,12.11
1350,2392,7.38
1351,2756,8.65
1352,448,15.73
1353,614,15.16
1354,822,12.32
1355,4308,8.02
1356,21126,4.01
1357,902,11.03
1358,2802,7.73
1359,926,11.74
1360,1396,11.57
1361,1620,9.18
1362,2626,7.12
1363,512,16.11
1364,80746,3.39
1365,850,11.47
1366,1240,9.69
1367,1676,9
1368,2488,11.83
1369,696,11.53
1370,664,12.16
1371,2776,9.42
1372,364,19.4
1373,824,14.67
1374,450,15.61
1375,660,12.52
1376,342,14.5
1377,1462,9.36
1378,428,14.41
1379,1600,10.72
1380,1922,7.55
1381,226,20.84
1382,642,16.75
1383,1348,10.81
1384,1230,8.74
1385,1408,9.53
1386,1976,9.44
1387,1710,10.89
1388,640,13.29
1389,1476,8.6
1390,1238,11.62
1391,484,16.29
1392,7474,5.04
1393,3600,9.04
1394,810,11.56
1395,1334,12.15
1396,738,12.18
1397,2000,10.9
1398,724,10.24
1399,27920,6.19
1400,252,15.53
1401,1134,12.27
1402,1148,10.77
1403,3220,8.02
1404,612,12.26
1405,888,13.61
1406,10636,8.79
1407,6872,3.87
1408,4302,5.03
1409,800,11.36
1410,8682,5.8
1411,2076,6.25
1412,704,12.1
1413,666,12.65
1414,1198,10.52
1415,302,14.92
1416,1128,9.04
1417,852,12.16
1418,1062,9.27
1419,12082,4.42
1420,658,14.59
1421,404,15.69
1422,2336,7.67
1423,6824,5.41
1424,718,13.4
1425,48972,2.56
1426,1614,8.82
1427,1634,9.5
1428,380,19.88
1429,786,16.76
1430,172,37.69
1431,1610,11.28
1432,540,16.13
1433,286,22.22
1434,708,12.72
1435,292,23.22
1436,274,23.51
1437,466,18.29
1438,760,12.63
1439,1168,11.54
1440,922,12.52
1441,718,12.86
1442,6228,3.8
1443,3600,7.16
1444,266,24.43
1445,720,10.36
1446,290,22.5
1447,1138,9.4
1448,1764,9.34
1449,9124,6.48
1450,11226,8.53
1451,572,18.82
1452,350,16.05
1453,72,47.92
1454,716,9.79
1455,4856,6.75
1456,434,20.59
1457,140,39.18
1458,296,19.2
1459,2672,9.25
